user,produk,review
Ainun,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,benar2 membuat dahak anak saya keluar  jd anak saya bs lega  batuk lumayan berkurang
R***a,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,oke
Victor,,Teksturnya pas ga terlalu kental  rasa balance.
L***n,,Udah jadi langganan
Irma,,Expire masih lama. Tolong sediakan kemasan yang lebih besar. Terima kasih
S***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Udah sampe cepet banget 1 hr sampe begitu diminum enak banget  tenggorokan jd ga sakit lg.
Fransisca,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,syarat P3K WAJIB DI RUMAH!
untung,,Kemasan oke  packing an nya aman  semoga bermanfaat buat kesehatan. Terima kasih seller.
untung,,Sudah sering order  ini order lagi. puas sih dari kemanan packing  waktu pengiriman  semua memuaskan . terimakasih
Ping,,Selalu puas dengan produknya. Kemasan aman dan cepat sampai. udah repeat order untuk kesekian kali.
Meigi,,Langganan aja pokoknya
Khairul,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,keren pokok nya  packaging nya datang sesuai estimasi
Mona,,sip
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sesuai pesanan  datang tepat waktu. thanks seller
Rizal,,respon cepat. insha Allah halal dan berkualitas
Taufiq,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,orderan ke sekian kali
Irma,,Memang berkhasiat mengurangi gejala sakit maag. Tapi sayang  voucher gak bisa dipakai
Ciptaningrat,,jamu ini bikin nafsu makan anak bertambah. keren!
Wahyuni,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pengiriman d best Respon toko sangat ramah Selalu cepatâ€¦
I***a,,Packing aman sampai malang ðŸ˜
untung,,Packing sangat bagus  enviromental friendly  pengiriman sesuai waktu.
Leny,,rasanya enak   dan khasiatnya bagus
Deria,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,andalan saat anak bapil â¤
Awandi,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,enak banget. segar dan menyehatkan.
A***P,Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat,Sip
A***P,,Sip
A***P,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Semoga Cocok
J***a,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,Ini adalah pemesanan kedua dan cukup puas dengan hasilnya. Pengirimannya pun sangat cepat dan terbungkus rapi dan aman. Terima kasih atas service yg memuaskan
Lilis,,Cocok meredakan gerd  diminum teratur sesuai dosis  paket dikemas rapi dan aman  gak tumpah  gak bocor... sekedar saran tutup botol hendaknya diberi segel
