,user,produk,review,review_processed,polarity_score,polarity
0,Ainun,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,benar2 membuat dahak anak saya keluar  jd anak saya bs lega  batuk lumayan berkurang,"benar-benar,dahak,anak,jadi,anak,bisa,lega,batuk,lumayan",0,neutral
1,R***a,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,oke,,0,neutral
2,Victor,,Teksturnya pas ga terlalu kental  rasa balance.,"tekstur,enggak,kental,balance",0,neutral
3,L***n,,Udah jadi langganan,langgan,1,positive
4,Irma,,Expire masih lama. Tolong sediakan kemasan yang lebih besar. Terima kasih,"expire,tolong,sedia,kemas,besar,terima,kasih",0,neutral
5,S***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Udah sampe cepet banget 1 hr sampe begitu diminum enak banget  tenggorokan jd ga sakit lg.,"sampai,cepat,hari,sampai,minum,enak,tenggorok,jadi,enggak,sakit,lagi",2,positive
6,Fransisca,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,syarat P3K WAJIB DI RUMAH!,"syarat,p3k,wajib,rumah",0,neutral
7,untung,,Kemasan oke  packing an nya aman  semoga bermanfaat buat kesehatan. Terima kasih seller.,"kemas,packing,an,aman,moga,manfaat,sehat,terima,kasih,seller",5,positive
8,untung,,Sudah sering order  ini order lagi. puas sih dari kemanan packing  waktu pengiriman  semua memuaskan . terimakasih,"order,order,puas,keman,packing,kirim,muas,terimakasih",1,positive
9,Ping,,Selalu puas dengan produknya. Kemasan aman dan cepat sampai. udah repeat order untuk kesekian kali.,"puas,produk,kemas,aman,cepat,repeat,order",3,positive
10,Meigi,,Langganan aja pokoknya,"langgan,pokok",1,positive
11,Khairul,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,keren pokok nya  packaging nya datang sesuai estimasi,"keren,pokok,packaging,sesuai,estimasi",1,positive
12,Mona,,sip,sip,0,neutral
13,Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sesuai pesanan  datang tepat waktu. thanks seller,"sesuai,pesan,thanks,seller",2,positive
14,Rizal,,respon cepat. insha Allah halal dan berkualitas,"respon,cepat,insha,allah,halal,kualitas",1,positive
15,Taufiq,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,orderan ke sekian kali,order,0,neutral
16,Irma,,Memang berkhasiat mengurangi gejala sakit maag. Tapi sayang  voucher gak bisa dipakai,"khasiat,gejala,sakit,maag,sayang,voucher,enggak,pakai",2,positive
17,Ciptaningrat,,jamu ini bikin nafsu makan anak bertambah. keren!,"jamu,bikin,nafsu,makan,anak,keren",0,neutral
18,Wahyuni,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pengiriman d best Respon toko sangat ramah Selalu cepatâ€¦,"kirim,di,best,respon,toko,ramah,cepat",3,positive
19,I***a,,Packing aman sampai malang ðŸ˜,"packing,aman,malang",1,positive
20,untung,,Packing sangat bagus  enviromental friendly  pengiriman sesuai waktu.,"packing,bagus,enviromental,friendly,kirim,sesuai",1,positive
21,Leny,,rasanya enak   dan khasiatnya bagus,"enak,khasiat,bagus",2,positive
22,Deria,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,andalan saat anak bapil â¤,"andal,anak,bapil",0,neutral
23,Awandi,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,enak banget. segar dan menyehatkan.,"enak,segar,sehat",2,positive
24,A***P,Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat,Sip,sip,0,neutral
25,A***P,,Sip,sip,0,neutral
26,A***P,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Semoga Cocok,"moga,cocok",1,positive
27,J***a,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,Ini adalah pemesanan kedua dan cukup puas dengan hasilnya. Pengirimannya pun sangat cepat dan terbungkus rapi dan aman. Terima kasih atas service yg memuaskan,"mesan,puas,hasil,kirim,cepat,bungkus,rapi,aman,terima,kasih,service,muas",6,positive
28,Lilis,,Cocok meredakan gerd  diminum teratur sesuai dosis  paket dikemas rapi dan aman  gak tumpah  gak bocor... sekedar saran tutup botol hendaknya diberi segel,"cocok,reda,gerd,minum,atur,sesuai,dosis,paket,kemas,rapi,aman,engenggak,tumpah,engenggak,bocor,dar,saran,tutup,botol,segel",0,neutral
29,N***a,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,bagus banget dikemas satu2,"bagus,kemas,satu2",0,neutral
30,Irma,,Ini pembelian jamu Jagadthara yang kesekian kali  karena efeknya bagus untuk ibu saya. Memang sakit maagnya masih kadang kambuh tapi kondisi ibu saya sudah jauh lebih bai...,"beli,jamu,jagadthara,efek,bagus,sakit,maagnya,kambuh,kondisi,bai",0,neutral
31,Nina,,udah langganan  fresh awet dan segar,"langgan,fresh,awet,segar",1,positive
